Date,Country,City,Specie,count,min,max,median,variance
2020-01-01,US,Brooklyn,o3,20,18.4,28.9,21.6,111.76
2020-01-01,US,Brooklyn,pm25,168,1,54,30,1299.37
2020-01-02,US,Brooklyn,o3,24,4.8,24.8,18.4,388.3
2020-01-02,US,Brooklyn,pm25,166,9,88,51,1362.51
2020-01-02,US,Brooklyn,wind-speed,16,0.2,7,1.7,60.69
2020-01-02,US,Brooklyn,co,24,2.3,8,4.3,19.83
2020-01-02,US,Brooklyn,temperature,12,7.6,9.3,8.3,1.98
2020-01-02,US,Brooklyn,humidity,12,38.8,61.2,55,706.47
2020-01-02,US,Brooklyn,wind speed,16,0.2,7,1.7,60.69
2020-01-02,US,Brooklyn,no2,24,16.8,37.7,31.6,267.24
2020-01-02,US,Brooklyn,pressure,12,1010.4,1013.6,1011.8,7.94
2020-01-03,US,Brooklyn,o3,19,0.8,8,3.2,68.24
2020-01-03,US,Brooklyn,pm25,165,35,75,60,647.19
2020-01-03,US,Brooklyn,wind-speed,128,0.1,6.5,1.4,35.29
2020-01-03,US,Brooklyn,wind-gust,132,0.2,10.7,3.3,73.19
2020-01-03,US,Brooklyn,co,24,4.5,7.7,6,9.52
2020-01-03,US,Brooklyn,temperature,159,4.4,10.5,8.8,15.08
2020-01-03,US,Brooklyn,humidity,159,59.3,97,87.2,873.13
2020-01-03,US,Brooklyn,wind speed,128,0.1,6.5,1.4,35.29
2020-01-03,US,Brooklyn,no2,21,24,35.7,30.8,99.37
2020-01-03,US,Brooklyn,pressure,165,1007.5,1012.7,1010.2,18.56
2020-01-03,US,Brooklyn,wind gust,132,0.2,10.7,3.3,73.19
2020-01-04,US,Brooklyn,o3,14,0.8,23.3,1.6,873.38
2020-01-04,US,Brooklyn,pm25,168,10,92,51,2165.21
2020-01-04,US,Brooklyn,wind-speed,110,0.1,21,2.5,178.47
2020-01-04,US,Brooklyn,wind-gust,122,0.2,28,3.7,426.48
2020-01-04,US,Brooklyn,dew,11,1,4,3,10.41
2020-01-04,US,Brooklyn,co,24,1.6,8.8,6.8,40.21
2020-01-04,US,Brooklyn,temperature,161,4.3,11.1,9.4,23.39
2020-01-04,US,Brooklyn,humidity,161,64.6,99,92.8,613.87
2020-01-04,US,Brooklyn,wind speed,110,0.1,21,2.5,178.47
2020-01-04,US,Brooklyn,no2,24,8.7,28.5,23,280.49
2020-01-04,US,Brooklyn,pressure,168,999.5,1010.7,1002.9,112.84
2020-01-04,US,Brooklyn,wind gust,122,0.2,28,3.7,426.48
2020-01-05,US,Brooklyn,o3,22,19.2,29.6,24.8,78.43
2020-01-05,US,Brooklyn,pm25,166,2,54,30,1384.17
2020-01-05,US,Brooklyn,wind-speed,165,0.5,33,7.6,435.97
2020-01-05,US,Brooklyn,wind-gust,144,0.2,49,19.4,1007.07
2020-01-05,US,Brooklyn,dew,65,-9,1.5,-6,49.21
2020-01-05,US,Brooklyn,co,24,1.5,3.7,1.6,2.68
2020-01-05,US,Brooklyn,temperature,168,-0.6,7,3.8,16.57
2020-01-05,US,Brooklyn,humidity,168,38,85.8,55,728.78
2020-01-05,US,Brooklyn,wind speed,165,0.5,33,7.6,435.97
2020-01-05,US,Brooklyn,no2,24,4.8,19.3,6.1,187.49
2020-01-05,US,Brooklyn,pressure,168,1000.2,1017.8,1011.1,237.96
2020-01-05,US,Brooklyn,wind gust,144,0.2,49,19.4,1007.07
2020-01-06,US,Brooklyn,o3,23,11.2,27.2,20,198.48
2020-01-06,US,Brooklyn,pm25,166,10,75,43,1269.88
2020-01-06,US,Brooklyn,dew,57,-9,-1,-3,45.33
2020-01-06,US,Brooklyn,co,23,1.9,5.5,3.1,10.02
2020-01-06,US,Brooklyn,temperature,168,-1.3,7.5,3.4,80.46
2020-01-06,US,Brooklyn,humidity,168,34.5,94,65.2,2247.24
2020-01-06,US,Brooklyn,wind speed,164,0.2,24,4,134.89
2020-01-06,US,Brooklyn,no2,24,13.1,33.4,20.8,446.92
2020-01-06,US,Brooklyn,pressure,168,1013.1,1018.9,1015.7,20.08
2020-01-06,US,Brooklyn,wind gust,144,0.2,31,7.8,284.91
2020-01-07,US,Brooklyn,o3,21,4.8,27.2,16.8,416.33
2020-01-07,US,Brooklyn,pm25,163,9,63,41,1070.89
2020-01-07,US,Brooklyn,dew,65,-8,1,-4,66.1
2020-01-07,US,Brooklyn,co,24,1.9,5.7,3,12.69
2020-01-07,US,Brooklyn,temperature,168,-0.5,7.5,5,22.62
2020-01-07,US,Brooklyn,humidity,168,35.8,88.7,53.4,1366.97
2020-01-07,US,Brooklyn,wind speed,160,0.1,10.1,2,33.68
2020-01-07,US,Brooklyn,no2,24,14.4,35.9,24.1,385.95
2020-01-07,US,Brooklyn,pressure,168,1011.1,1021,1016.9,85.34
2020-01-07,US,Brooklyn,wind gust,144,0.2,19.3,5.5,110.24
2020-01-08,US,Brooklyn,o3,24,17.6,31.2,24.1,194.67
2020-01-08,US,Brooklyn,pm25,167,16,71,41,983.22
2020-01-08,US,Brooklyn,dew,59,-14,-1,-6,193.85
2020-01-08,US,Brooklyn,co,24,1.7,4,2.4,5.36
2020-01-08,US,Brooklyn,temperature,168,-3.2,7,2,46.57
2020-01-08,US,Brooklyn,humidity,168,30.9,89,60.3,2848.95
2020-01-08,US,Brooklyn,wind speed,165,0.2,25,5.5,242.63
2020-01-08,US,Brooklyn,no2,23,8.5,28.4,12.6,398.73
2020-01-08,US,Brooklyn,pressure,168,1010.8,1030.8,1013.8,361.21
2020-01-08,US,Brooklyn,wind gust,144,0.6,36.5,13.8,737.86
2020-01-09,US,Brooklyn,o3,22,0.8,25.6,24.1,516.18
2020-01-09,US,Brooklyn,pm25,168,4,67,37,1208.94
2020-01-09,US,Brooklyn,dew,56,-17,-5,-13,82.34
2020-01-09,US,Brooklyn,co,23,1.4,4.7,2,8.39
2020-01-09,US,Brooklyn,temperature,168,-6.8,1.9,-1.6,51.02
2020-01-09,US,Brooklyn,humidity,168,26,68.8,45.9,700.79
2020-01-09,US,Brooklyn,wind speed,159,0.1,13,3.1,90.13
2020-01-09,US,Brooklyn,no2,24,6.9,39.3,11.6,1287.21
2020-01-09,US,Brooklyn,pressure,168,1029.8,1043.5,1040.4,123.31
2020-01-09,US,Brooklyn,wind gust,142,0.3,39,7.5,417.36
2020-01-10,US,Brooklyn,o3,24,1.6,24.1,17.6,322.29
2020-01-10,US,Brooklyn,pm25,168,20,65,42,1321.55
2020-01-10,US,Brooklyn,dew,59,-7,7,1,149.28
