date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,HOSP_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT
2020-02-29,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-03-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-03,1,7,0,0,0,1,0,0,3,0,0,1,0,1,2,0,0,0,0
2020-03-04,5,2,0,0,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0
2020-03-05,3,14,0,0,0,1,0,3,3,0,0,5,0,0,4,0,0,1,0
2020-03-06,8,8,0,5,2,1,0,1,1,0,3,3,0,1,2,0,1,1,0
2020-03-07,7,8,0,6,0,1,0,2,3,0,1,0,0,3,4,0,1,0,0
2020-03-08,21,18,0,8,3,5,0,5,8,0,6,1,0,6,4,0,1,0,0
2020-03-09,57,39,0,14,4,8,0,16,11,0,24,10,0,10,8,0,3,2,0
2020-03-10,69,58,0,21,8,6,0,11,12,0,24,13,0,24,23,0,2,4,0
2020-03-11,155,80,1,32,19,23,0,31,12,0,62,19,0,40,23,1,3,3,0
2020-03-12,355,108,0,46,29,18,0,96,34,0,137,16,0,80,37,0,13,3,0
2020-03-13,619,152,0,66,79,27,0,166,44,0,182,29,0,166,50,0,26,2,0
2020-03-14,642,175,2,90,86,21,0,163,39,1,176,37,0,194,71,1,23,7,0
2020-03-15,1035,210,4,117,119,37,1,433,53,0,206,34,2,230,68,1,47,18,0
2020-03-16,2121,346,8,161,305,76,3,740,93,1,457,46,0,528,116,4,91,15,0
2020-03-17,2452,386,8,208,343,61,1,783,99,4,567,76,0,651,128,3,108,22,0
2020-03-18,2971,495,20,267,482,111,1,966,122,6,538,86,4,834,152,9,150,24,0
2020-03-19,3707,632,24,342,623,134,4,1204,161,6,556,105,4,1065,207,6,258,25,4
2020-03-20,4007,747,47,427,723,126,13,1137,222,11,653,118,11,1184,249,9,310,32,3
2020-03-21,2638,739,44,508,490,162,12,554,184,12,399,118,5,947,241,14,248,34,1
2020-03-22,2580,771,49,588,494,174,12,756,201,10,317,134,7,696,231,14,317,31,6
2020-03-23,3570,1145,82,702,730,221,12,910,302,27,531,188,7,1190,390,28,209,44,8
2020-03-24,4500,1313,95,835,927,271,14,1212,366,23,620,205,17,1391,419,35,350,52,6
2020-03-25,4874,1410,124,965,1068,306,30,1254,418,37,586,197,20,1572,438,33,394,51,4
2020-03-26,5046,1542,186,1095,998,322,37,1375,488,50,627,234,29,1642,444,60,404,54,10
