"Date","Subways","Buses","LIRR","Metro-North","ScheduledTrips","Traffic"
"2020-03-01","2214601","984900","","","19922","786960.6125"
"2020-03-02","5347055","2209100","","","30340","874619.95"
"2020-03-03","5498556","2228600","","","32768","882175.175"
"2020-03-04","5515945","2177200","","","34304","905558.4"
"2020-03-05","5513656","2244500","","","33211","929298.0375"
"2020-03-06","5204732","2066700","","","30971","938167"
"2020-03-07","2817082","1249100","","","18117","820830"
"2020-03-08","2122328","957200","","","19477","758580"
"2020-03-09","4989635","2124800","","","29609","860073"
"2020-03-10","4883623","2112000","","","31315","855585"
"2020-03-11","4712462","2113000","","","32204","866706"
"2020-03-12","4163674","1938400","","","30815","881188"
"2020-03-13","3496765","1715700","","","26641","860419"
"2020-03-14","1672800","993300","","","13395","631101"
"2020-03-15","1159079","711600","","","12480","535988"
"2020-03-16","2184296","1237300","","","21149","708870"
"2020-03-17","1793359","1094900","","","18174","650455"
"2020-03-18","1629413","1059500","","","15942","634853"
"2020-03-19","1425564","933600","","","14119","569696"
"2020-03-20","1312249","868600","","","12746","563262"
"2020-03-21","620662","564900","","","6467","382993"
"2020-03-22","409364","378900","","","4824","277051"
"2020-03-23","711138","578200","","","9905","361514"
"2020-03-24","743314","657800","","","9136","395493"
"2020-03-25","691604","618000","","","9512","375767"
"2020-03-26","681923","646100","","","8796","390117"
"2020-03-27","658312","641800","","","8409","344434"
"2020-03-28","332993","403700","","","4491","240702"
"2020-03-29","264119","306800","","","3374","197154"
"2020-03-30","546355","563900","","","8084","344690"
"2020-03-31","509149","514300","","","7672","337626"
"2020-04-01","514201","495400","10500","13600","8151","342222"
"2020-04-02","486468","472700","10100","13700","7077","339734"
"2020-04-03","484200","483800","9700","13200","7794","295626"
"2020-04-04","282703","383400","3700","8100","4375","243323"
"2020-04-05","227603","299600","3000","5600","2763","177590"
"2020-04-06","446273","454900","10100","14400","7093","335769"
"2020-04-07","435718","441000","9300","14100","7041","332108"
"2020-04-08","428206","431700","9000","13500","6950","324882"
"2020-04-09","405325","401900","8400","12900","6243","303481"
"2020-04-10","400947","414100","8200","13000","5378","314100"
"2020-04-11","257467","378200","2700","7600","4235","254755"
"2020-04-12","198693","279100","2200","5100","2525","217871"
"2020-04-13","363961","347800","8200","13000","6205","284609"
"2020-04-14","430946","470900","8800","14100","6585","356104"
"2020-04-15","419851","454100","8600","13800","6928","340213"
"2020-04-16","421013","447000","8500","13800","6563","346342"
"2020-04-17","433106","470300","8300","13500","7048","326907"
"2020-04-18","254792","352000","2400","7200","4202","254735"
"2020-04-19","224751","318100","2200","6000","2742","276406"
"2020-04-20","438622","498700","8900","14800","7050","371776"
"2020-04-21","422860","450900","8300","13700","6613","356099"
"2020-04-22","459574","518900","8700","14100","7496","398703"
"2020-04-23","454300","487300","8400","13800","6969","386938"
"2020-04-24","444644","475400","7800","13200","7040","386935"
"2020-04-25","295836","430800","2900","9100","4719","350300"
"2020-04-26","219096","293500","1900","5400","2506","231541"
"2020-04-27","463700","518400","8800","15000","6922","384124"
"2020-04-28","490073","555600","9200","15400","7542","436347"
