Column,New York,Borough,income_num_returns(households),avg income per return(x1000s),income level,DBA,STREET,GRADE DATE
76,10007,MANHATTAN,3640,693.3799451,high income,DUNKIN',CHURCH STREET,3/10/2020
118,10007,MANHATTAN,3640,693.3799451,high income,DUNKIN',CHAMBERS STREET,11/13/2019
288,10007,MANHATTAN,3640,693.3799451,high income,DUNKIN',CHURCH STREET,2/12/2019
394,10007,MANHATTAN,3640,693.3799451,high income,DUNKIN',BROADWAY,4/26/2019
400,10007,MANHATTAN,3640,693.3799451,high income,DUNKIN',PARK PLACE,4/16/2019
675,10065,MANHATTAN,15920,662.7414573,high income,DUNKIN',1 AVENUE,8/27/2019
681,10065,MANHATTAN,15920,662.7414573,high income,DUNKIN',LEXINGTON AVENUE,8/27/2019
1353,10021,MANHATTAN,23350,618.3508779,high income,DUNKIN',2 AVENUE,1/3/2019
1438,10021,MANHATTAN,23350,618.3508779,high income,DUNKIN',EAST   70 STREET,7/18/2019
1526,10021,MANHATTAN,23350,618.3508779,high income,DUNKIN',2 AVENUE,6/18/2019
1617,10022,MANHATTAN,20230,601.5358873,high income,DUNKIN',1 AVENUE,2/10/2020
1634,10022,MANHATTAN,20230,601.5358873,high income,DUNKIN',1 AVENUE,1/29/2020
2001,10022,MANHATTAN,20230,601.5358873,high income,DUNKIN',3 AVENUE,8/22/2019
2005,10022,MANHATTAN,20230,601.5358873,high income,DUNKIN',LEXINGTON AVENUE,8/22/2019
2376,10022,MANHATTAN,20230,601.5358873,high income,DUNKIN',3 AVENUE,2/8/2019
2793,10022,MANHATTAN,20230,601.5358873,high income,DUNKIN',2 AVENUE,5/28/2019
2977,10075,MANHATTAN,14310,513.4378057,high income,DUNKIN',LEXINGTON AVENUE,2/26/2020
3418,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CANAL STREET,2/28/2020
3728,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CANAL STREET,11/22/2019
3938,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CANAL STREET,3/7/2019
4186,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CANAL STREET,1/25/2019
4327,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CENTRE STREET,9/17/2019
4489,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CANAL STREET,7/16/2019
4963,10013,MANHATTAN,15140,490.1375165,high income,DUNKIN',CANAL STREET,6/21/2019
5005,10017,MANHATTAN,12150,489.8909465,high income,DUNKIN',LEXINGTON AVENUE,1/17/2020
5365,10017,MANHATTAN,12150,489.8909465,high income,DUNKIN',5 AVENUE,12/13/2019
5408,10017,MANHATTAN,12150,489.8909465,high income,DUNKIN',VANDERBILT AVENUE,9/10/2019
5424,10017,MANHATTAN,12150,489.8909465,high income,DUNKIN',LEXINGTON AVENUE,9/12/2019
5783,10017,MANHATTAN,12150,489.8909465,high income,DUNKIN',EAST   46 STREET,9/20/2019
6113,10017,MANHATTAN,12150,489.8909465,high income,DUNKIN',LEXINGTON AVENUE,6/5/2019
6336,10028,MANHATTAN,25540,418.0414644,high income,DUNKIN',LEXINGTON AVENUE,10/10/2019
6419,10028,MANHATTAN,25540,418.0414644,high income,DUNKIN',EAST   86 STREET,8/28/2019
7052,10023,MANHATTAN,34400,401.1237209,high income,DUNKIN',WEST   72 STREET,3/13/2019
7651,10024,MANHATTAN,30540,398.9122135,high income,DUNKIN',AMSTERDAM AVENUE,1/29/2019
