Column,New York,Borough,income_num_returns(households),avg income per return(x1000s),income level,DBA,STREET,GRADE DATE
63,10007,MANHATTAN,3640,693.3799451,high income,STARBUCKS,BROADWAY,3/2/2020
132,10007,MANHATTAN,3640,693.3799451,high income,STARBUCKS,CHURCH STREET,11/20/2019
155,10007,MANHATTAN,3640,693.3799451,high income,STARBUCKS,BROADWAY,12/16/2019
263,10007,MANHATTAN,3640,693.3799451,high income,STARBUCKS,BROADWAY,1/9/2019
299,10007,MANHATTAN,3640,693.3799451,high income,STARBUCKS,BROADWAY,2/22/2019
494,10065,MANHATTAN,15920,662.7414573,high income,STARBUCKS,3 AVENUE,1/2/2020
651,10065,MANHATTAN,15920,662.7414573,high income,STARBUCKS,1 AVENUE,12/18/2019
713,10065,MANHATTAN,15920,662.7414573,high income,STARBUCKS,3 AVENUE,3/22/2019
767,10065,MANHATTAN,15920,662.7414573,high income,STARBUCKS,3 AVENUE,1/10/2019
884,10065,MANHATTAN,15920,662.7414573,high income,STARBUCKS,1 AVENUE,7/30/2019
924,10065,MANHATTAN,15920,662.7414573,high income,STARBUCKS,LEXINGTON AVENUE,5/3/2019
1190,10021,MANHATTAN,23350,618.3508779,high income,STARBUCKS,EAST   69 STREET,11/12/2019
1197,10021,MANHATTAN,23350,618.3508779,high income,STARBUCKS,1 AVENUE,11/8/2019
1362,10021,MANHATTAN,23350,618.3508779,high income,STARBUCKS,2 AVENUE,1/16/2019
1521,10021,MANHATTAN,23350,618.3508779,high income,STARBUCKS,2 AVENUE,6/21/2019
1694,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,MADISON AVENUE,2/25/2020
1782,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,LEXINGTON AVENUE,10/15/2019
1833,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,LEXINGTON AVENUE,11/18/2019
1875,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,MADISON AVENUE,11/13/2019
1943,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,EAST  57 STREET,12/9/2019
2000,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,EAST   53 STREET,8/28/2019
2355,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,MADISON AVENUE,2/15/2019
2516,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,2 AVENUE,7/22/2019
2737,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,LEXINGTON AVENUE,5/15/2019
2824,10022,MANHATTAN,20230,601.5358873,high income,STARBUCKS,EAST   51 STREET,5/29/2019
3146,10075,MANHATTAN,14310,513.4378057,high income,STARBUCKS,EAST   80 STREET,4/18/2019
3207,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,WORTH STREET,1/3/2020
3291,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,WEST BROADWAY,1/13/2020
3988,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,BROADWAY,4/22/2019
4089,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,AVENUE OF THE AMERICAS,4/10/2019
4144,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,VARICK STREET,1/23/2019
4231,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,WORTH STREET,2/14/2019
4248,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,WEST BROADWAY,2/6/2019
4553,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,GREENWICH STREET,8/13/2019
4569,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,WEST BROADWAY,8/1/2019
4679,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,CANAL STREET,4/15/2019
4735,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,VARICK STREET,5/13/2019
4766,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,LAFAYETTE STREET,5/10/2019
4987,10013,MANHATTAN,15140,490.1375165,high income,STARBUCKS,WEST BROADWAY,6/19/2019
5027,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,EAST   42 STREET,1/9/2020
5086,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,MADISON AVENUE,1/31/2020
5359,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,LEXINGTON AVENUE,12/13/2019
5481,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,LEXINGTON AVENUE,3/14/2019
5513,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,LEXINGTON AVENUE,3/7/2019
5598,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,MADISON AVENUE,1/10/2019
5682,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,EAST   42 STREET,2/7/2019
5743,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,EAST   45 STREET,9/19/2019
5750,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,PARK AVE FRNT 1,9/27/2019
5790,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,3 AVENUE,7/9/2019
5797,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,MADISON AVENUE,7/18/2019
5855,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,EAST   42 STREET,8/7/2019
5884,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,PARK AVENUE,8/19/2019
5898,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,5 AVENUE,8/16/2019
6055,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,LEXINGTON AVENUE,5/30/2019
6104,10017,MANHATTAN,12150,489.8909465,high income,STARBUCKS,PARK AVE FRNT 1,6/3/2019
6273,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,LEXINGTON AVENUE,3/4/2020
6328,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,LEXINGTON AVENUE,10/23/2019
6369,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,1 AVENUE,11/19/2019
6411,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,3 AVENUE,11/26/2019
6449,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,LEXINGTON AVENUE,2/27/2019
6672,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,YORK AVENUE,4/18/2019
6724,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,3 AVENUE,5/14/2019
6815,10028,MANHATTAN,25540,418.0414644,high income,STARBUCKS,LEXINGTON AVENUE,6/18/2019
6870,10023,MANHATTAN,34400,401.1237209,high income,STARBUCKS,WEST   66 STREET,2/11/2020
6935,10023,MANHATTAN,34400,401.1237209,high income,STARBUCKS,BROADWAY,3/11/2020
7050,10023,MANHATTAN,34400,401.1237209,high income,STARBUCKS,BROADWAY,3/6/2019
7161,10023,MANHATTAN,34400,401.1237209,high income,STARBUCKS,WEST   73 STREET,9/27/2019
7218,10023,MANHATTAN,34400,401.1237209,high income,STARBUCKS,BROADWAY,7/24/2019
7301,10023,MANHATTAN,34400,401.1237209,high income,STARBUCKS,BROADWAY,5/17/2019
7373,10024,MANHATTAN,30540,398.9122135,high income,STARBUCKS,COLUMBUS AVENUE,12/26/2019
7383,10024,MANHATTAN,30540,398.9122135,high income,STARBUCKS,BROADWAY,12/27/2019
7566,10024,MANHATTAN,30540,398.9122135,high income,STARBUCKS,BROADWAY,3/19/2019
7661,10024,MANHATTAN,30540,398.9122135,high income,STARBUCKS,COLUMBUS AVENUE,1/4/2019
7783,10024,MANHATTAN,30540,398.9122135,high income,STARBUCKS,BROADWAY,8/7/2019
7860,10024,MANHATTAN,30540,398.9122135,high income,STARBUCKS,COLUMBUS AVENUE,5/13/2019
7963,10044,MANHATTAN,4360,101.2800459,medium income,STARBUCKS,MAIN STREET,3/22/2019
8067,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,QUEENS BOULEVARD,2/18/2020
8416,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,QUEENS BOULEVARD,2/20/2019
8456,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,CONTINENTAL AVENUE,10/2/2019
8565,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,AUSTIN STREET,8/5/2019
8571,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,QUEENS BOULEVARD,7/31/2019
8588,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,AUSTIN STREET,5/3/2019
8665,11375,QUEENS,35810,99.45110304,medium income,STARBUCKS,CONTINENTAL AVENUE,6/4/2019
8805,11238,BROOKLYN,31680,96.85981692,medium income,STARBUCKS,FLATBUSH AVENUE,3/6/2020
9047,11238,BROOKLYN,31680,96.85981692,medium income,STARBUCKS,FLATBUSH AVENUE,3/15/2019
10443,11101,QUEENS,20950,93.09274463,medium income,STARBUCKS,35 AVENUE,5/3/2019
10852,10309,STATEN ISLAND,15270,90.03942371,medium income,STARBUCKS,PAGE AVENUE,11/7/2019
11697,10009,MANHATTAN,32690,87.20804527,medium income,STARBUCKS,1 AVENUE,8/5/2019
12817,10455,BRONX,18080,29.71559735,low income,STARBUCKS,EAST  149 STREET,11/19/2019
13176,11355,QUEENS,52130,29.43537311,low income,STARBUCKS,MAIN STREET,2/24/2020
13608,11355,QUEENS,52130,29.43537311,low income,STARBUCKS,MAIN STREET,9/24/2019
